Reference,Qty,Value,Datasheet,MANUFACTURER,MANUFACTURER PART NUMBER,SUPPLIER,SUPPLIER PART NUMBER,Description
C20,1,510pF,,Yageo,CC0805JRNPO9BN511,Digi-Key,311-4240-1-ND,0805 510 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor
J1,2,2 pin connector,https://www.molex.com/en-us/products/part-detail-pdf/2170640021?display=pdf,Molex,2170640021,Digi-Key, 23-2170640021TR-ND,2.0 RA ASSY 2CKT ETP BK _GW
